Exam,Unit,Subject,Month,Year,Paper,Number,Section,Topic,Difficulty,Correct,Question,Answer A,Answer B,Answer C,Answer D,Validated Question Code,Validated Answer A Code,Validated Answer B Code,Validated Answer C Code,Validated Answer D Code,Q,A,B,C,D,Question Diagram Path Prefix,A Diagram Path Prefix,B Diagram Path Prefix,C Diagram Path Prefix,D Diagram Path Prefix
cape,2,PureMathematics,May,2025,1,6,Complex Numbers and Calculus 2,Complex Numbers,2,D,\text{The principal value of the argument of the complex number } ( -2 + 2i ) \text{ is},-\frac{3 \pi}{4},-\frac{\pi}{4},\frac{\pi}{4},\frac{3 \pi}{4},"LaTeX(""The principal value of the argument of the complex number $( -2 + 2i )$ is"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{3 \\pi}{4}$"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{\\pi}{4}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{\\pi}{4}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{3 \\pi}{4}$"").parsingMode(.onlyEquations)",The principal value of the argument of the complex number $( -2 + 2i )$ is,$-\frac{3 \pi}{4}$,$-\frac{\pi}{4}$,$\frac{\pi}{4}$,$\frac{3 \pi}{4}$,cape_2_puremathematics_may_2025_1_6,cape_2_puremathematics_may_2025_1_6_a,cape_2_puremathematics_may_2025_1_6_b,cape_2_puremathematics_may_2025_1_6_c,cape_2_puremathematics_may_2025_1_6_d
cape,2,PureMathematics,May,2025,1,7,Complex Numbers and Calculus 2,Complex Numbers,2,B,"\text{Given that } ( z = -1 + \sqrt{3}i ), \text{ then the exponential form of the complex number } ( z ) \text{ is}",2e^{i\frac{\pi}{6}},2e^{i\frac{2 \pi}{3}},2e^{i\frac{5 \pi}{6}},2e^{i\frac{\pi}{3}},"LaTeX(""Given that $( z = -1 + \\sqrt{3}i ),$ then the exponential form of the complex number $( z )$ is"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{\\pi}{6}}$"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{2 \\pi}{3}}$"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{5 \\pi}{6}}$"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{\\pi}{3}}$"").parsingMode(.onlyEquations)","Given that $( z = -1 + \sqrt{3}i ),$ then the exponential form of the complex number $( z )$ is",$2e^{i\frac{\pi}{6}}$,$2e^{i\frac{2 \pi}{3}}$,$2e^{i\frac{5 \pi}{6}}$,$2e^{i\frac{\pi}{3}}$,cape_2_puremathematics_may_2025_1_7,cape_2_puremathematics_may_2025_1_7_a,cape_2_puremathematics_may_2025_1_7_b,cape_2_puremathematics_may_2025_1_7_c,cape_2_puremathematics_may_2025_1_7_d
cape,2,PureMathematics,May,2025,1,10,Complex Numbers and Calculus 2,Differentiation 2,2,A,( \frac{d}{dx} \cos^{(-1)} [ \frac{x}{2} ] ) \text{ is equal to},-\frac{1}{\sqrt{4-x^2}},-\frac{2}{\sqrt{4-x^2}},-2 \sqrt{4-x^2},\sqrt{4-x^2},"LaTeX(""$( \\frac{d}{dx} \\cos^{(-1)} [ \\frac{x}{2} ] )$ is equal to"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{1}{\\sqrt{4-x^2}}$"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{2}{\\sqrt{4-x^2}}$"").parsingMode(.onlyEquations)","LaTeX(""$-2 \\sqrt{4-x^2}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{4-x^2}$"").parsingMode(.onlyEquations)",$( \frac{d}{dx} \cos^{(-1)} [ \frac{x}{2} ] )$ is equal to,$-\frac{1}{\sqrt{4-x^2}}$,$-\frac{2}{\sqrt{4-x^2}}$,$-2 \sqrt{4-x^2}$,$\sqrt{4-x^2}$,cape_2_puremathematics_may_2025_1_10,cape_2_puremathematics_may_2025_1_10_a,cape_2_puremathematics_may_2025_1_10_b,cape_2_puremathematics_may_2025_1_10_c,cape_2_puremathematics_may_2025_1_10_d
cape,2,PureMathematics,May,2025,1,18,"Sequences, Series and Approximations",Series,1,C,\text{The value of } ( \sum_{(n=0)}^{\infty} x^n ) \text{ for } ( |x| < 1 ) \text{ is},\frac{1}{x},\frac{1}{x^2},\frac{1}{1-x},\frac{1}{1-x^n},"LaTeX(""The value of $( \\sum_{(n=0)}^{\\infty} x^n )$ for $( |x| < 1 )$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{x}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{x^2}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{1-x}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{1-x^n}$"").parsingMode(.onlyEquations)",The value of $( \sum_{(n=0)}^{\infty} x^n )$ for $( |x| < 1 )$ is,$\frac{1}{x}$,$\frac{1}{x^2}$,$\frac{1}{1-x}$,$\frac{1}{1-x^n}$,cape_2_puremathematics_may_2025_1_18,cape_2_puremathematics_may_2025_1_18_a,cape_2_puremathematics_may_2025_1_18_b,cape_2_puremathematics_may_2025_1_18_c,cape_2_puremathematics_may_2025_1_18_d
cape,2,PureMathematics,May,2025,1,20,"Sequences, Series and Approximations",Series,2,B,"\text{For } ( -1 < 2n < 1 ), ( \sum_{(r=0)}^{\infty} (2n)^r = )",\frac{2}{1-n},\frac{1}{1-2n},\frac{2n}{1+2n},\frac{2n}{1-2n},"LaTeX(""For $( -1 < 2n < 1 ), ( \\sum_{(r=0)}^{\\infty} (2n)^r = )$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{2}{1-n}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{1-2n}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{2n}{1+2n}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{2n}{1-2n}$"").parsingMode(.onlyEquations)","For $( -1 < 2n < 1 ), ( \sum_{(r=0)}^{\infty} (2n)^r = )$",$\frac{2}{1-n}$,$\frac{1}{1-2n}$,$\frac{2n}{1+2n}$,$\frac{2n}{1-2n}$,cape_2_puremathematics_may_2025_1_20,cape_2_puremathematics_may_2025_1_20_a,cape_2_puremathematics_may_2025_1_20_b,cape_2_puremathematics_may_2025_1_20_c,cape_2_puremathematics_may_2025_1_20_d
cape,2,PureMathematics,May,2025,1,22,"Sequences, Series and Approximations",Series,2,A,"\text{Which of the following series are arithmetic series?}
I. ( \sum_{(r=1)}^n (7+3r) )
II. ( \sum_{(r=1)}^n \log_{10} 3^{(r+1)} )
III. ( \sum_{(r=1)}^n \log_{10} (r+1) )",\text{I and II only},\text{I and III only},\text{II and III only},"\text{I, II and III}","LaTeX(""Which of the following series are arithmetic series?\n$I. ( \\sum_{(r=1)}^n (7+3r) )$\n$II. ( \\sum_{(r=1)}^n \\log_{10} 3^{(r+1)} )$\n$III. ( \\sum_{(r=1)}^n \\log_{10} (r+1) )$"").parsingMode(.onlyEquations)","LaTeX(""I and II only"").parsingMode(.onlyEquations)","LaTeX(""I and III only"").parsingMode(.onlyEquations)","LaTeX(""II and III only"").parsingMode(.onlyEquations)","LaTeX(""I, II and III"").parsingMode(.onlyEquations)","Which of the following series are arithmetic series?
$I. ( \sum_{(r=1)}^n (7+3r) )$
$II. ( \sum_{(r=1)}^n \log_{10} 3^{(r+1)} )$
$III. ( \sum_{(r=1)}^n \log_{10} (r+1) )$",I and II only,I and III only,II and III only,"I, II and III",cape_2_puremathematics_may_2025_1_22,cape_2_puremathematics_may_2025_1_22_a,cape_2_puremathematics_may_2025_1_22_b,cape_2_puremathematics_may_2025_1_22_c,cape_2_puremathematics_may_2025_1_22_d
cape,2,PureMathematics,May,2025,1,24,"Sequences, Series and Approximations",Series,2,C,"\text{Given that } ( S_n = \sum_{(l=1)}^n [ \frac{1}{l} - \frac{1}{l+1} ] ), ( \lim_{(n \to \infty)} S_n ) \text{ is}",0,\frac{2}{3},-1,\infty,"LaTeX(""Given that $( S_n = \\sum_{(l=1)}^n [ \\frac{1}{l} - \\frac{1}{l+1} ] ), ( \\lim_{(n \\to \\infty)} S_n )$ is"").parsingMode(.onlyEquations)","LaTeX(""( 0 )"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{2}{3}$"").parsingMode(.onlyEquations)","LaTeX(""( 1 )"").parsingMode(.onlyEquations)","LaTeX(""$\\infty$"").parsingMode(.onlyEquations)","Given that $( S_n = \sum_{(l=1)}^n [ \frac{1}{l} - \frac{1}{l+1} ] ), ( \lim_{(n \to \infty)} S_n )$ is",0,$\frac{2}{3}$,-1,$\infty$,cape_2_puremathematics_may_2025_1_24,cape_2_puremathematics_may_2025_1_24_a,cape_2_puremathematics_may_2025_1_24_b,cape_2_puremathematics_may_2025_1_24_c,cape_2_puremathematics_may_2025_1_24_d
cape,2,PureMathematics,May,2025,1,35,"Sequences, Series and Approximations",Series,2,D,\text{Which of the following statements is true?},\sum_{(r=1)}^n r^2 = 2 \sum_{(r=1)}^n r,\sum_{(r=1)}^n r^2 = \sum_{(r=1)}^n r,\sum_{(r=1)}^n (2+r^2) = 2 + \sum_{(r=1)}^n r^2,\sum_{(r=1)}^n r^2 = \sum_{(r=0)}^n r^2,"LaTeX(""Which of the following statements is true?"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(r=1)}^n r^2 = 2 \\sum_{(r=1)}^n r$"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(r=1)}^n r^2 = \\sum_{(r=1)}^n r$"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(r=1)}^n (2+r^2) = 2 + \\sum_{(r=1)}^n r^2$"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(r=1)}^n r^2 = \\sum_{(r=0)}^n r^2$"").parsingMode(.onlyEquations)",Which of the following statements is true?,$\sum_{(r=1)}^n r^2 = 2 \sum_{(r=1)}^n r$,$\sum_{(r=1)}^n r^2 = \sum_{(r=1)}^n r$,$\sum_{(r=1)}^n (2+r^2) = 2 + \sum_{(r=1)}^n r^2$,$\sum_{(r=1)}^n r^2 = \sum_{(r=0)}^n r^2$,cape_2_puremathematics_may_2025_1_35,cape_2_puremathematics_may_2025_1_35_a,cape_2_puremathematics_may_2025_1_35_b,cape_2_puremathematics_may_2025_1_35_c,cape_2_puremathematics_may_2025_1_35_d
cape,2,PureMathematics,May,2025,1,39,Counting Matricies and Differential Equations,Differential Equations and Modelling,3,A,"\text{The displacement, } ( x ), \text{ of a particle at time } ( t ) \text{ is given by the differential equation } ( \frac{d^2x}{dt^2} + 2 \frac{dx}{dt} - 5x = 4e^t ). \text{ The particular integral } ( x = )",( -2e^t ),\frac{1}{4}e^t,-\frac{1}{2}e^t,( 4e^t ),"LaTeX(""The displacement, $( x ),$ of a particle at time $( t )$ is given by the differential equation $( \\frac{d^2x}{dt^2} + 2 \\frac{dx}{dt} - 5x = 4e^t ).$ The particular integral $( x = )$"").parsingMode(.onlyEquations)","LaTeX(""( -2e^t )"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{4}e^t$"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{1}{2}e^t$"").parsingMode(.onlyEquations)","LaTeX(""( 4e^t )"").parsingMode(.onlyEquations)","The displacement, $( x ),$ of a particle at time $( t )$ is given by the differential equation $( \frac{d^2x}{dt^2} + 2 \frac{dx}{dt} - 5x = 4e^t ).$ The particular integral $( x = )$",( -2e^t ),$\frac{1}{4}e^t$,$-\frac{1}{2}e^t$,( 4e^t ),cape_2_puremathematics_may_2025_1_39,cape_2_puremathematics_may_2025_1_39_a,cape_2_puremathematics_may_2025_1_39_b,cape_2_puremathematics_may_2025_1_39_c,cape_2_puremathematics_may_2025_1_39_d
cape,2,PureMathematics,May,2026,1,4,Complex Numbers and Calculus 2,Complex Numbers,1,B,\text{The modulus of the complex number } ( 6 + 3i ) \text{ is},-3,3 \sqrt{5},5 \sqrt{3},9 \sqrt{5},"LaTeX(""The modulus of the complex number $( 6 + 3i )$ is"").parsingMode(.onlyEquations)","LaTeX(""( 3 )"").parsingMode(.onlyEquations)","LaTeX(""$3 \\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$5 \\sqrt{3}$"").parsingMode(.onlyEquations)","LaTeX(""$9 \\sqrt{5}$"").parsingMode(.onlyEquations)",The modulus of the complex number $( 6 + 3i )$ is,-3,$3 \sqrt{5}$,$5 \sqrt{3}$,$9 \sqrt{5}$,cape_2_puremathematics_may_2026_1_4,cape_2_puremathematics_may_2026_1_4_a,cape_2_puremathematics_may_2026_1_4_b,cape_2_puremathematics_may_2026_1_4_c,cape_2_puremathematics_may_2026_1_4_d
cape,2,PureMathematics,May,2026,1,9,Complex Numbers and Calculus 2,Integration 2,2,C,( \int \frac{1}{1+9x^2} dx ) \text{ is},\frac{1}{9} \tan^{(-1)} x + c,\frac{1}{3} \tan^{(-1)} 3x + c,\frac{1}{3} \tan^{(-1)} \frac{x}{3} + c,\frac{1}{9} \tan^{(-1)} 3x + c,"LaTeX(""$( \\int \\frac{1}{1+9x^2} dx )$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{9} \\tan^{(-1)} x + c$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{3} \\tan^{(-1)} 3x + c$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{3} \\tan^{(-1)} \\frac{x}{3} + c$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{9} \\tan^{(-1)} 3x + c$"").parsingMode(.onlyEquations)",$( \int \frac{1}{1+9x^2} dx )$ is,$\frac{1}{9} \tan^{(-1)} x + c$,$\frac{1}{3} \tan^{(-1)} 3x + c$,$\frac{1}{3} \tan^{(-1)} \frac{x}{3} + c$,$\frac{1}{9} \tan^{(-1)} 3x + c$,cape_2_puremathematics_may_2026_1_9,cape_2_puremathematics_may_2026_1_9_a,cape_2_puremathematics_may_2026_1_9_b,cape_2_puremathematics_may_2026_1_9_c,cape_2_puremathematics_may_2026_1_9_d
cape,2,PureMathematics,May,2026,1,11,Complex Numbers and Calculus 2,Integration 2,3,C,"\text{Given that } ( \cos 2x = 1 - 2 \sin^2 x ) \text{, } ( \int_0^{\pi} \sin^2 (\frac{x}{4}) dx ) \text{ is}",2 - \pi,\pi - 2,\frac{\pi}{2} - 1,1 - \frac{\pi}{2},"LaTeX(""Given that $( \\cos 2x = 1 - 2 \\sin^2 x )$, $( \\int_0^{\\pi} \\sin^2 (\\frac{x}{4}) dx )$ is"").parsingMode(.onlyEquations)","LaTeX(""$2 - \\pi$"").parsingMode(.onlyEquations)","LaTeX(""$\\pi - 2$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{\\pi}{2} - 1$"").parsingMode(.onlyEquations)","LaTeX(""$1 - \\frac{\\pi}{2}$"").parsingMode(.onlyEquations)","Given that $( \cos 2x = 1 - 2 \sin^2 x )$, $( \int_0^{\pi} \sin^2 (\frac{x}{4}) dx )$ is",$2 - \pi$,$\pi - 2$,$\frac{\pi}{2} - 1$,$1 - \frac{\pi}{2}$,cape_2_puremathematics_may_2026_1_11,cape_2_puremathematics_may_2026_1_11_a,cape_2_puremathematics_may_2026_1_11_b,cape_2_puremathematics_may_2026_1_11_c,cape_2_puremathematics_may_2026_1_11_d
